Fecha;Arbitro;Local;Visita;GL;GV;PL;PV;RemL;RemV;RpL;RpV;RfL;RfV;RbL;RbV;CL;CV;OffL;OffV;ArqL;ArqV;FL;FV;RL;RV;AL;AV;TpL;TpV;BkL;BkV;AtaqL;AtaqV;DAtaqL;DAtaqV
28.11.2021 15:00;Ortega K. (Per);Sporting Cristal;Alianza Lima;0;0;72%;28%;20;9;3;2;9;6;8;1;7;0;2;1;2;3;9;10;1;1;1;3;554;227;8;19;170;84;140;43
21.11.2021 15:00;Haro D. (Per);Alianza Lima;Sporting Cristal;1;0;37%;63%;9;13;3;3;4;9;2;1;3;6;1;1;3;2;18;10;0;0;3;3;279;443;15;13;59;91;40;83
07.11.2021 15:00;Ordonez E. (Per);Binacional;Carlos Stein;0;2;48%;52%;10;12;6;9;4;3;-;-;3;4;-;-;8;6;-;-;0;0;3;4;-;-;-;-;100;121;52;66
04.11.2021 15:00;Espinoza M. (Per);Carlos Stein;Binacional;0;1;45%;55%;11;20;2;5;9;15;-;-;2;2;3;0;4;2;9;15;0;0;2;0;-;-;-;-;104;96;58;63
31.10.2021 15:30;Alarcon J. (Per);Melgar;Universitario;1;2;64%;36%;11;5;2;2;5;3;4;0;10;0;1;3;0;1;10;12;0;0;0;0;565;327;16;20;147;101;102;25
30.10.2021 15:00;Huaman D. (Per);Alianza Atl.;Dep. Municipal;0;2;48%;52%;7;4;3;4;4;0;-;-;6;2;-;-;2;3;-;-;0;0;1;5;-;-;-;-;109;105;76;38
30.10.2021 15:00;Haro Sueldo D. M. (Per);Alianza Huánuco;Ayacucho;1;2;53%;47%;9;14;3;4;4;6;2;4;5;3;4;3;2;2;19;16;0;0;3;1;310;273;15;13;82;70;72;55
30.10.2021 15:00;Espinoza M. (Per);Binacional;César Vallejo;0;0;32%;68%;16;4;4;2;8;1;4;1;8;3;3;3;2;4;12;15;0;0;1;2;273;583;18;11;98;105;51;43
30.10.2021 15:00;-;Carlos Mannucci;AD Cantolao;1;0;46%;54%;5;4;2;1;3;3;-;-;9;0;-;-;1;1;-;-;0;0;3;4;-;-;-;-;106;134;77;67
30.10.2021 15:00;Perez R. B. (Per);Cusco;Sport Huancayo;2;1;47%;53%;6;5;5;2;1;3;-;-;3;1;-;-;1;3;-;-;0;0;1;2;-;-;-;-;102;103;58;47
30.10.2021 15:00;Seminario L. (Per);Sporting Cristal;Sport Boys;1;1;65%;35%;6;10;2;4;2;3;2;3;3;2;0;0;3;1;13;9;0;0;1;0;595;310;6;22;110;100;58;50
30.10.2021 15:00;Palomino M. (Per);UTC;San Martín;4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-
29.10.2021 15:00;Barbagelatta G. (Per);Cienciano;Alianza Lima;1;1;38%;62%;17;7;4;2;4;1;9;4;3;9;0;2;1;3;17;8;0;0;1;0;270;433;20;7;90;128;75;81
24.10.2021 15:30;Palomino M. (Per);Alianza Lima;Sporting Cristal;1;3;46%;54%;12;13;1;8;5;2;6;3;4;3;0;1;5;0;12;10;0;0;3;1;361;424;10;10;104;130;56;73
24.10.2021 13:15;Espinoza M. (Per);César Vallejo;Alianza Huánuco;3;1;53%;47%;11;10;4;2;7;8;0;0;4;6;3;5;1;1;18;12;0;0;2;0;-;-;-;-;144;134;76;69
24.10.2021 11:00;Perez R. B. (Per);Dep. Municipal;Melgar;1;3;58%;42%;11;13;2;6;9;5;0;2;2;4;1;4;3;1;12;13;0;0;1;1;471;342;14;27;104;97;67;62
23.10.2021 15:30;-;Universitario;Cusco;2;1;54%;46%;12;11;6;5;4;4;2;2;8;4;0;1;4;4;13;19;0;0;2;2;434;365;19;20;151;121;105;72
23.10.2021 13:15;Ordonez E. (Per);San Martín;Alianza Atl.;3;1;39%;61%;9;10;3;3;6;3;0;4;0;10;2;1;2;0;16;10;0;0;2;2;261;402;13;16;101;155;58;129
23.10.2021 11:00;Alarcon J. (Per);Sport Huancayo;Binacional;2;0;42%;58%;5;13;3;2;2;9;0;2;2;5;0;2;2;1;11;15;0;1;1;2;389;529;20;15;71;96;42;70
22.10.2021 15:30;Legario F. (Per);Sport Boys;Carlos Mannucci;3;3;61%;39%;20;10;5;4;13;3;2;3;9;7;5;1;1;2;8;18;0;0;4;7;367;233;12;11;116;92;96;61
22.10.2021 13:15;Carrillo V. (Per);Ayacucho;Cienciano;1;3;58%;42%;19;9;5;4;12;4;2;1;9;7;1;4;1;4;14;25;0;1;2;5;334;256;14;14;122;112;109;83
22.10.2021 11:00;Ortega K. (Per);AD Cantolao;UTC;2;0;52%;48%;4;13;2;6;2;4;0;3;0;3;4;2;6;0;13;18;0;0;2;1;351;304;15;11;119;136;53;91
18.10.2021 15:30;-;César Vallejo;Sport Huancayo;0;0;53%;47%;10;16;2;7;5;5;3;4;2;5;3;2;7;2;13;17;0;0;4;0;409;347;9;18;126;109;90;67
18.10.2021 13:15;Ordonez E. (Per);Binacional;Universitario;1;2;57%;43%;19;7;5;2;5;3;9;2;6;5;4;2;0;4;17;19;0;0;1;1;391;287;9;10;93;102;86;72
18.10.2021 11:00;Ortega K. (Per);Cusco;Dep. Municipal;3;5;36%;64%;15;12;6;6;7;5;2;1;7;3;1;2;1;3;9;24;0;0;0;5;270;510;24;19;100;98;40;33
17.10.2021 15:30;Legario F. (Per);Sporting Cristal;Ayacucho;1;0;63%;37%;8;16;2;3;3;9;3;4;7;6;3;0;3;1;11;17;0;0;4;3;510;279;21;15;123;111;77;91
17.10.2021 13:15;Menendez A. (Per);Alianza Huánuco;Cienciano;1;1;47%;53%;9;7;3;1;6;4;0;2;9;4;2;1;0;2;12;21;0;0;1;3;342;398;19;19;115;116;85;80
17.10.2021 11:00;Casanova V. (Per);Melgar;San Martín;6;0;58%;42%;20;6;7;3;8;3;5;0;9;1;4;1;3;1;22;7;0;0;2;3;384;282;24;14;97;98;87;51
16.10.2021 15:30;-;Carlos Mannucci;Alianza Lima;0;1;46%;54%;13;11;2;4;8;5;3;2;7;7;0;4;3;2;20;8;1;0;5;2;385;464;14;11;115;106;86;84
16.10.2021 13:15;-;UTC;Sport Boys;1;1;51%;49%;15;3;5;2;7;1;3;0;8;1;0;4;1;4;9;20;0;0;0;1;396;406;5;8;110;93;86;46
16.10.2021 11:00;Palomino M. (Per);Alianza Atl.;AD Cantolao;3;1;46%;54%;12;11;3;3;7;6;2;2;5;3;2;0;2;0;15;16;0;0;1;0;285;348;15;11;112;106;77;75
08.10.2021 15:30;Cartagena J. (Per);Binacional;Sporting Cristal;3;4;46%;54%;14;18;5;8;5;7;4;3;5;8;2;15;4;3;19;8;0;0;1;1;343;396;16;21;103;88;47;56
03.10.2021 15:30;Carrillo V. (Per);Universitario;César Vallejo;3;0;36%;64%;8;18;5;3;1;12;2;3;4;10;5;2;3;2;18;21;0;0;3;5;251;456;28;10;83;102;56;73
03.10.2021 13:00;Perez R. B. (Per);AD Cantolao;Melgar;0;2;40%;60%;3;19;0;5;0;6;3;8;3;7;2;6;3;0;13;18;1;0;2;0;301;424;18;18;69;98;33;80
03.10.2021 10:30;Huaman D. (Per);San Martín;Cusco;1;1;30%;70%;10;18;5;2;3;6;2;10;0;14;1;6;1;4;16;10;0;0;2;1;234;518;17;7;86;124;32;114
02.10.2021 15:30;Palomino M. (Per);Alianza Lima;UTC;2;0;52%;48%;6;17;3;3;2;9;1;5;6;3;3;0;3;1;12;12;0;0;0;2;417;377;10;14;96;85;51;61
02.10.2021 13:00;Menendez A. (Per);Dep. Municipal;Binacional;1;2;60%;40%;7;21;2;8;3;7;2;6;6;3;3;4;6;1;14;19;0;0;2;3;473;309;6;12;80;81;48;67
02.10.2021 10:30;Legario F. (Per);Sport Huancayo;Alianza Huánuco;4;3;52%;48%;9;4;5;3;4;1;-;-;1;4;-;-;0;1;17;13;0;0;1;2;-;-;-;-;117;108;73;54
01.10.2021 15:30;Espinoza J. (Per);Cienciano;Sporting Cristal;2;1;36%;64%;16;13;3;3;7;6;6;4;4;17;2;1;2;1;11;15;0;0;2;1;322;533;18;17;88;138;48;98
01.10.2021 13:00;Seminario L. (Per);Sport Boys;Alianza Atl.;3;1;52%;48%;16;17;7;5;6;9;3;3;4;8;5;0;4;4;16;16;0;0;0;1;358;322;13;13;99;120;68;99
01.10.2021 10:30;Lopez P. (Per);Ayacucho;Carlos Mannucci;3;2;53%;47%;22;12;13;4;3;4;6;4;4;4;1;3;2;10;13;15;0;0;1;2;398;356;20;24;118;116;58;52
27.09.2021 15:30;Villegas H. (Per);Binacional;San Martín;1;0;43%;57%;13;9;4;1;6;5;3;3;5;3;0;3;1;3;25;4;1;0;2;1;363;487;19;16;97;128;46;66
27.09.2021 11:00;Lopez Ramos P. (Esp);Cusco;AD Cantolao;3;2;59%;41%;20;9;10;5;6;3;4;1;8;3;4;1;3;7;17;24;0;1;4;4;375;273;15;14;106;72;81;32
26.09.2021 18:00;-;Alianza Huánuco;Sporting Cristal;1;2;39%;61%;7;6;2;5;3;1;2;0;2;4;1;1;3;1;20;21;0;1;5;4;292;490;12;9;97;109;68;65
26.09.2021 15:30;Garay L. (Per);Sport Huancayo;Universitario;1;3;61%;39%;10;11;6;5;3;5;1;1;7;2;0;3;2;5;17;19;0;0;2;2;458;295;14;18;119;93;82;67
26.09.2021 13:15;Huaman D. (Per);Melgar;Sport Boys;1;0;47%;53%;11;10;5;1;2;5;4;4;6;1;3;6;1;4;27;12;0;0;0;2;370;423;18;8;121;142;85;71
26.09.2021 11:00;Legario F. (Per);César Vallejo;Dep. Municipal;2;0;39%;61%;10;16;2;3;5;4;3;9;1;4;3;3;3;0;28;15;0;0;4;3;299;468;21;11;99;126;60;84
25.09.2021 15:30;Menendez A. (Per);Alianza Atl.;Alianza Lima;1;3;47%;53%;14;16;1;4;7;5;6;7;9;5;1;3;1;0;15;18;0;0;0;1;335;385;11;22;89;72;83;56
25.09.2021 13:15;Perez R. B. (Per);Carlos Mannucci;Cienciano;1;3;44%;56%;7;14;2;6;3;6;2;2;3;16;2;2;3;1;15;14;0;1;2;2;350;436;24;15;81;89;47;92
25.09.2021 11:00;Ordonez E. (Per);UTC;Ayacucho;0;2;45%;55%;19;13;5;6;12;4;2;3;9;4;1;4;4;5;9;25;1;1;0;1;299;382;16;24;75;95;81;80
23.09.2021 18:00;Garay Evia L. (Per);San Martín;César Vallejo;0;1;47%;53%;6;10;1;2;2;6;3;2;3;2;2;5;1;1;17;20;0;0;1;3;372;425;14;17;124;135;81;79
23.09.2021 15:30;Perez R. B. (Per);Alianza Huánuco;Universitario;0;4;44%;56%;4;21;0;11;4;7;0;3;5;3;1;1;7;0;19;17;1;0;4;0;342;445;20;21;97;123;42;90
23.09.2021 13:15;Menendez A. (Per);AD Cantolao;Binacional;1;2;50%;50%;10;24;3;9;4;9;3;6;4;4;2;8;7;2;17;21;0;0;3;3;384;377;17;12;100;113;51;65
23.09.2021 11:00;Cartagena J. (Per);Dep. Municipal;Sport Huancayo;2;2;64%;36%;6;11;4;7;2;0;0;4;2;9;1;1;5;2;19;16;0;0;1;2;551;293;6;16;107;103;64;74
22.09.2021 15:30;Espinoza M. (Per);Sporting Cristal;Carlos Mannucci;1;3;69%;31%;22;7;6;4;11;3;5;0;8;1;3;1;1;5;9;15;0;0;1;4;535;254;17;21;150;98;140;40
